adventure_keyword_count,adventure_keyword_binary,relaxation_keyword_count,relaxation_keyword_binary,culture_keyword_count,culture_keyword_binary,budget_keyword_count,budget_keyword_binary,luxury_keyword_count,luxury_keyword_binary,family_keyword_count,family_keyword_binary,adventure_keyword_ratio,relaxation_keyword_ratio,culture_keyword_ratio,budget_keyword_ratio,luxury_keyword_ratio,family_keyword_ratio,price_tier,region_southeast_asia,region_east_asia,region_south_asia,region_central_asia,region_western_europe,region_eastern_europe,region_southern_europe,region_northern_europe,region_north_america,region_central_america,region_south_america,region_caribbean,region_north_africa,region_west_africa,region_east_africa,region_southern_africa,region_middle_east,region_oceania,destination_name,label
4,1,3,1,3,1,0,0,2,1,1,1,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.0,0.15384615384615385,0.07692307692307693,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Rotorua,Adventure
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Banff,Adventure
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Krabi,Adventure
0,0,0,0,5,1,2,1,0,0,0,0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hanoi,Budget
1,0,0,0,3,1,0,0,0,0,1,1,0.2,0.0,0.6,0.0,0.0,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chiang Mai,Budget
0,0,0,0,3,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Siem Reap,Budget
1,0,2,0,4,1,0,0,1,1,1,1,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tbilisi,Budget
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medellin,Budget
0,0,2,0,2,0,0,0,0,0,2,1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sofia,Budget
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Krakow,Budget
